图鉴ID	物件ID	SceneID	GroupID	ConfigID	景观名称$text_name_Name	描述$text_name_Desc	图片	城市ID	区域ID	序号	已废弃	解锁才显示
70200001	70800028	3	133102011	11001	远眺高车之所	端坐荻花洲南端的客栈，似乎也承担着客栈以外的使命。据说望舒客栈的楼阁是恋人共约赏月的胜地。坊间有传说道，纵然贵为仙人者，偶尔也会在此沐浴清冷的月光…	UI_Codex_Scenery_LYwangshukezhan	2	2504	105		
70200002	70800028	3	133102012	12001	轻策山间	高大的轻策山慈悲地怀抱着安乐无虞的村庄，静静守护着其中的老者、孩童与丰饶的田地。而山下镇压着古老妖异的传说早已同讲述者一齐老去，亦不复归。	UI_Codex_Scenery_LYqingcezhuang	2	2507	108		
70200003	70800028	3	133102014	14001	水泽荻原	此间是沙沙作响的荻草与蛙声和鸣之地，也是古代无数侠客最后的安息之所。	UI_Codex_Scenery_LYdihuazhou	2	2503	106		
70200004	70800028	3	133103568	568001	千峰绝云之间	传说仙家寄寓此间千百石峰与翻腾云霭之间。是凡骨之躯难以企及的地方。	UI_Codex_Scenery_LYjueyunjian	2	2601	109		
70200005	70800028	3	133103569	569001	雾海中的石林	云中有如亭阁般耸立的石峰。纵使知晓此间绝非凡人应当涉足之地，这样的华光雾海也会有如漩涡一般，吸引着憧憬天空、憧憬仙居之人吧。	UI_Codex_Scenery_LYhuaguanglin	2	2602	111		
70200006	70800028	3	133103573	573001	沐浴月光之树	枝头流淌着清冷的月光的奇树。深入地心的根系末端，是否又连结着某种等待着再次沐浴月光的悠古之物呢…	UI_Codex_Scenery_LYnantianmen	2	2605	110		
70200007	70800028	3	133104691	691001	归离城墟	曾经盛开着某种花卉的繁华城集。但美梦最终醒转，乐土终究毁于乱世，归人复离。	UI_Codex_Scenery_LYguiliyuan	2	2505	107		
70200008	70800028	3	133104692	692001	盈泪的故园	传说是深情清澈的相思盈满了旧日的园圃，造就了渌华池如今的景象。	UI_Codex_Scenery_LYluhuachi	2	2509	112		
70200009	70800028	3	133104693	693001	靖世九柱	浅眠在翠玦坡的山谷深处的，传说祓除妖异、靖却世间邪妄的九柱石锁。	UI_Codex_Scenery_LYjingshijiuzhu	2	2607	117		
70200010	70800028	3	133106321	321001	青墟孤楼	矗立在青潭之间的荒废城楼。如今依旧守护着早已化为土灰的高傲过往。	UI_Codex_Scenery_LYqingxupu	2	2803	116		
70200011	70800028	3	133106322	322001	遁玉古陵	「美玉遁藏之地」。但昔日发生在此地的战争早已结束，因玉而辉的古陵早已毁灭。如今只有流水之声陌陌低语。	UI_Codex_Scenery_LYdunyuling	2	2801	115		
70200012	70800028	3	133106323	323001	层岩巨渊外	连接璃月港与名为层岩巨渊的巨大矿坑的中转站，近来因为层岩巨渊深处的某种变故而停止运作。	UI_Codex_Scenery_LYkuangchang	2	2200	114		
70200013	70800028	3	133107130	130001	千船万商云集之地	千帆汇集的繁荣海港。在无数契约规约之下，百货迭出，宝飨七国。欢迎来到璃月，遍行四方的旅人。	UI_Codex_Scenery_LYliyuegang	2	2701	101		
70200014	70800028	3	133107131	131001	玉京台	远离嚣闹的港口，依着天衡山高高升起。「七星」与诸商会的首脑，在此驱动着璃月驶向无止境的平稳与繁华。	UI_Codex_Scenery_LYyujingtai	2	2701	104		
70200015	70800028	3	133107132	132001	吃虎岩	璃月港永远搏动的心脏，为之输送活力十足的血液。此处忙碌热闹的市井景象，正是璃月港无限生机之所在。	UI_Codex_Scenery_LYchihuyan	2	2701	103		
70200016	70800028	3	133107133	133001	绯云坡	诸商行兴隆发达，居民富足无忧的繁华之所，灯火熙熙攘攘，长明不灭。	UI_Codex_Scenery_LYfeiyunpo	2	2701	102		
70200017	70800028	3	133108149	149001	瀚海孤云	传说是帝君镇压海中妖物留下的孤傲石峰。据说，心神敏感者偶然会在睡梦中听见，磐岩镇压的海床深处传来的某种律动。	UI_Codex_Scenery_LYguyunge	2	2703	113		
70300001	70800028	3	133209040	40001	鸣神·离岛	传说数百年前，勘定奉行柊弘嗣曾从荒岛之上奇迹般地建起一座繁荣的商贸中心，令将军殿下刮目相看。「锁国令」实行的日子里，勘定奉行府上依旧灯火通明，来自远国的商户却已寂寥怆然，不复百年前熙攘之貌。或许这便是凡人之业的最好写照：成于一夕者，亦将败于一朝。	UI_Codex_Scenery_DQlidao	3	3102	201		
70300002	70800028	3	133220441	441001	月光下的神林	传说在过去，这片神林曾是诸多妖怪栖身之处。如今，关于这片静谧的林地，仍有妖狸的「狸囃子」传说。	UI_Codex_Scenery_DQshouhuzhisen	3	3106	204		
70300003	70800028	3	133221027	27001	稻妻城·天领	诸多街巷坂道延伸交割，最终集于天守前。天守是稻妻无可置疑的权力中心，在大御所将军殿下永恒静谧的注视下，熙攘的万民终将摆脱执念的烦恼，走向不再需要追逐竞夺愿望的乐土——只不过，将军所见的那片净土，究竟是何风景呢？	UI_Codex_Scenery_DQdaoqichengfujiao	3	3101	202		
70300004	70800028	3	133220015	15001	稻妻城·城郊	沿古老的坂道逐步上行，稻妻城的城郊是一片颇有古风的闲适景象。似乎城内的繁华胜景并未感染此处的风光。将军的威势与恩惠同样在此弥布，带来了静谧而别样的生机。	UI_Codex_Scenery_DQdaoqichengyangjiao	3	3101	203		
70300005	70800028	3	133220454	454001	影向山·鸣神大社	鸣神大社坐落于影向山顶，守护着独一无二的神樱，是稻妻最大的神社。在并不太平的今日，为稻妻的民众提供可贵的慰藉与安宁。 	UI_Codex_Scenery_DQmingshendashe	3	3109	205		
70300006	70800028	3	133213086	86001	远眺踏鞴之岛	此处重峦叠嶂的环形岛屿是幕府的冶炼设施的最佳地形屏障。此处宏伟的巨型高炉曾源源不断地为稻妻生产高质量玉钢。但近来由于战事，驱动生产的「御影炉心」遭到了破坏。	UI_Codex_Scenery_DQgaolu	3	3200	206		
70300007	70800028	3	133213087	87001	神无冢·阵前	传说在数百年前的灾事中，将军殿下倚重的凡人名将九条重赖短短一夜间便筑起阵城，与漆黑的军势对抗，高扬「雷之三重巴」的旗印。数百年后，九条家的后人亦传承了出色的军事工程技术。	UI_Codex_Scenery_DQjiutiaozhenwu	3	3202	207		
70300008	70800028	3	133212305	305001	高眺之蛇首	传说中曾经深入深海的巨蛇，最终在八酝岛归于沉默。又有传说说海风穿过巨蛇的双眼、利齿时会发出阵阵如同哨子的声响，那是它为自己所作的镇魂诗。如今这首镇魂诗也同样为所有在战争中倒下、流离失所的人而吟。	UI_Codex_Scenery_DQlongtou	3	3307	210		
70300009	70800028	3	133212306	306001	战火中的滩涂	「名椎」在稻妻先民的古老语言中有「为神灵之手温柔爱抚」之含义。但讽刺的是，自千百年前至今，名椎滩便饱受战乱的摧残，落得居民寥寥，也成了拾荒者与海贼的天地。	UI_Codex_Scenery_DQmingzhuitan	3	3302	208		
70300010	70800028	3	133212307	307001	八酝岛·裂谷	传说中，终结蛇神的一刀正是在此处斩下的。在这道横贯八酝岛的深邃峡谷中，雷光的残响至今不绝，仿佛属雷的精灵仍在喋喋不休地议论着数千年前，划开天空与大地的传奇光景…	UI_Codex_Scenery_DQwuxiangrenxiajian	3	3304	209		
70300011	70800028	3	133211021	21001	珠光弥布的宫阙	海祇岛住民的政治中心与信仰集聚之地，礁岩与巨贝拱卫的宫阙隐居着蛇神的孑遗。	UI_Codex_Scenery_DQ2shanhugong	3	3501	215		
70300012	70800028	3	133210490	490001	月浴之渊	「渊下宫」入口之所在，池水终年闪烁着比拟月华的磷光，因而得名「月浴」。	UI_Codex_Scenery_DQ2yuanxiagong	3	3501	217		
70300013	70800028	3	133210489	489001	海渊民的村落	海祇岛上的古老村庄，据说其居民祖辈自海渊而来。\n也是对向「眼狩令」揭旗抵抗之人重要的据点。	UI_Codex_Scenery_DQ2wanglongcun	3	3503	216		
70300014	70800028	3	133217239	239001	雷云旋聚之处	海天变色的大战已成为渐被遗忘的过去，应唤而来的悠远雷暴依然在此驻留。	UI_Codex_Scenery_DQ2leibao	3	3401	214		
70300015	70800028	3	133217238	238001	搁浅的旗舰	破落的安宅船也曾经历宏伟年代，星光垂泪的遗骸中，依稀可见在昔日巫女与乡老祝福下骄傲扬帆的光景。	UI_Codex_Scenery_DQ2qinglaiwan	3	3403	212		
70300016	70800028	3	133217236	236001	寂静的渔村	旧日的笑语蝉鸣终湮于雷的威声。今人只记得，这是一座因无羁的雷电而废弃的村庄。	UI_Codex_Scenery_DQ2yueshicun	3	3404	211		
70300017	70800028	3	133217237	237001	代宫司寝子大人的居所	「『阿响』会回来的。」\n「多亏了汝等，神社打理得很好了。她很快就会回来了。」	UI_Codex_Scenery_DQ2qianlaishenshe	3	3402	213		1
70300018	70800028	3	133225174	174001	鹤观	「啊啊，美丽的鸟，如神的鹫鸟啊。」\n「我们一同沉睡在蛛丝般的雾巢中。」	UI_Codex_Scenery_DQ3heguan	3	3600	218		1
70200018	70800028	3	133106574	574001	层岩巨渊地面景观	「初来此地时，望见如此奇迹般的可怖地貌曾一度惊愕失声…那时的震撼与敬畏感，至今没有忘记。」\n「但被总务司支使着跑上跑下久了，就算再巧夺天工的奇景也难免厌烦了…」\n「说到这里，不得不多谢前辈的相助，我才能继续自己的冒险…」	UI_Codex_Scenery_CYCengYanJuYuanZhu	2	2200	118		1
70200019	70800028	3	133106575	575001	矿坑巨口	「层岩巨渊矿井的入口，被矿工们敬畏地称作『巨渊之口』。最近那场地震发生后，本就被七星封闭的坑口更显诡谲难测…」\n「在前辈的忙碌下，封印巨口的法印终于被解除了。希望『七星』不要怪罪下来才好…」	UI_Codex_Scenery_CYJuYuanDongKouJieSuo	2	2202	119		1
70200020	70800028	3	133106576	576001	伏鳌谷古战场	「此地曾是若陀龙王与岩王帝君死斗的战场。我只是一个经验浅薄的年轻冒险家，提笔弄墨本非所长…但目睹这样的奇观，仍然不觉感慨。」\n「与不舍昼夜的时空、震天撼地的巨神相比，我们身为凡人如何渺小…」	UI_Codex_Scenery_CYGuZhanChang	2	2200	120		
70200021	70800028	6	166001643	643001	地下矿区	「我曾在明蕴镇矿区长大，矿工们热闹嘈杂的劳动生息、矿工们的喜怒哀乐，占满了我的整个童年生活。」\n「如今面对更加宏大却寂静无人的地下矿道，心中有如昨日重现，只不过是更加寂寥忧郁的昨日…」	UI_Codex_Scenery_JYKaiCaiKuangQuZhu	2	3900	121		
70200022	70800028	6	166001644	644001	被阻塞的矿道	「当年撤离层岩巨渊的工人们将通往更深处的矿道封闭了，却保留下来了一尊『开山炮』。」\n「或许是当年大人物的特别指令吧…璃月蓬勃的商业，可不能离开琉璃晶砂的滋养太久。」	UI_Codex_Scenery_JYQianXianZhanDao	2	3901	122		
70200023	70800028	6	166001645	645001	地下水泽	「独自勘探的路上，发现了这处水泽。池水清凉洁净，在这里放松一下正好，将一路上的晦气洗濯一空。」\n「附近徘徊着一些温和的元素生物，慢悠悠的，罕见的与世无争之物…将它画在了地图上，如果前辈能顺着地图来到这里就好了。」	UI_Codex_Scenery_JYDiXiaShuiZe	2	3903	123		
70200024	70800028	6	166001646	646001	晶石碎片	「曾经存在于此的晶石正是当年迫使层岩巨渊关闭的『元凶』，如今它的异动又令总务司惊悚不已。」\n「幸有前辈相助，它已经回归了地下更深处的渊薮，空留这座冷峻的『岩石行宫』。」	UI_Codex_Scenery_JYXiaoSuiPianJieSuo	2	3904	124		1
70200025	70800028	6	166001647	647001	颠倒古城	「独自探索的路上，发现了这座宏大可怖的遗迹。或许是千百年前遭受惩罚而湮灭的古老文明，这座古城似乎在抗拒着外人的存在…或许与那些来历不明的紫黑色晶体与泥状物有关。」\n「驻足片刻，我只得远离这不祥的倒吊剪影。」	UI_Codex_Scenery_JYDianDaoYiJiJieSuo	2	3905	125		1
70200026	70800028	6	166001648	648001	大蘑菇之地	「生长着奇怪巨大蘑菇的地下洞穴，似乎能听到诡异的呼唤声。也许是我的幻觉，出现幻觉则说明这里应该充满了有毒气体，应该尽快离开。」	UI_Codex_Scenery_JYDaMoGu	2	3906	126		
70200027	70800028	6	166001649	649001	巨柱岩宫	「尽管前辈警告再三，我还是跟随着{M#他}{F#她}的脚步来到了这片区域。」\n「天空般湛蓝的晶石巨柱，是我难以理解的景象…这是绝不属于大地的造物，只可能来自同它一般耀眼的天空。」\n「为了破解它的谜团，我决定通过隐秘的通道继续向深处探索…不知之后还能走多远，能否留下任何记录…」	UI_Codex_Scenery_JYDaSuiPianJieSuo	2	3900	127		1
